decay_type,experiment_name,varied_parameter,varied_value,mechanism,USC,UTSP,UDP,delivery_time,time_ratio,pS,pT,avg_pT,psr,avg_psr,quality_q,risk_cost
exp,effectiveness,z_A0,11156.341708542714,sensitivity_z,622.7686327932164,36.7828598165178,1.565840453904177,1.003329817344606,1.003329817344606,5.0420177983193275,,,0.4697544196301226,0.4697544196301226,8.140451478182682,3.523769324638522
exp,effectiveness,z_A0,11303.13567839196,sensitivity_z,622.992495617848,36.8168993110248,1.529125412847915,1.002933825469169,1.002933825469169,5.0420177983193275,,,0.4700605235467647,0.4700605235467647,8.148514350183302,3.5687514277269057
exp,effectiveness,z_A0,11449.929648241205,sensitivity_z,623.2150712334096,36.85074706827642,1.4918223704440936,1.0025400901283963,1.0025400901283963,5.0420177983193275,,,0.4703666274634069,0.4703666274634069,8.156539194302418,3.614321532162849
exp,effectiveness,z_A0,11596.723618090451,sensitivity_z,623.4363742317347,36.884405074409784,1.4539313266927114,1.0021485857504977,1.0021485857504977,5.0420177983193275,,,0.470672731380049,0.470672731380049,8.164526404457146,3.6604796379463527
exp,effectiveness,z_A0,11743.517587939697,sensitivity_z,623.6564189582721,36.91787528390831,1.415452281593769,1.0017592871959176,1.0017592871959176,5.0420177983193275,,,0.4709788352966912,0.4709788352966912,8.172476368286624,3.7072257450774186
exp,effectiveness,z_A0,11890.311557788944,sensitivity_z,623.875219517602,36.95115962028091,1.3763852351472652,1.0013721697476472,1.0013721697476472,5.0420177983193275,,,0.47128493921333336,0.47128493921333336,8.18038946728671,3.754559853556044
exp,effectiveness,z_A0,12037.10552763819,sensitivity_z,624.092789778795,36.98425997672274,1.3367301873532007,1.000987209101808,1.000987209101808,5.0420177983193275,,,0.47159104312997546,0.47159104312997546,8.188266076941037,3.80248196338223
exp,effectiveness,z_A0,12183.899497487437,sensitivity_z,624.3091433806254,37.01717821675832,1.296487138211576,1.0006043813584962,1.0006043813584962,5.0420177983193275,,,0.4718971470466177,0.4718971470466177,8.196106566848561,3.8509920745559776
exp,effectiveness,z_A0,12330.693467336683,sensitivity_z,624.5242937366397,37.049916174867604,1.2556560877223912,1.0002236630128778,1.0002236630128778,5.0420177983193275,,,0.4722032509632598,0.4722032509632598,8.203911300847736,3.900090187077284
exp,effectiveness,z_A0,12477.48743718593,sensitivity_z,624.7382540400864,37.082475657095316,1.2142370358856445,0.9998450309465305,0.9998450309465305,5.0420177983193275,,,0.472509354879902,0.472509354879902,8.211680637137357,3.9497763009461524
exp,effectiveness,z_A0,12624.281407035176,sensitivity_z,624.9510372687124,37.11485844164439,1.1722299827013387,0.9994684624190189,0.9994684624190189,5.0420177983193275,,,0.4728154587965442,0.4728154587965442,8.219414928394276,4.000050416162581
exp,effectiveness,z_A0,12771.07537688442,sensitivity_z,625.16265618943,37.14706627945393,1.1296349281694713,0.9990939350596983,0.9990939350596983,5.0420177983193275,,,0.47312156271318623,0.47312156271318623,8.227114521888012,4.05091253272657
exp,effectiveness,z_A0,12917.869346733667,sensitivity_z,625.3731233628564,37.17910089476194,1.0864518722900458,0.9987214268597417,0.9987214268597417,5.0420177983193275,,,0.4734276666298285,0.4734276666298285,8.234779759592367,4.102362650638119
exp,effectiveness,z_A0,13064.663316582913,sensitivity_z,625.5824511477326,37.21096398565352,1.0426808150630578,0.9983509161643784,0.9983509161643784,5.0420177983193275,,,0.4737337705464706,0.4737337705464706,8.242410978294155,4.1544007698972285
exp,effectiveness,z_A0,13211.45728643216,sensitivity_z,625.7906517052268,37.24265722459508,0.998321756488509,0.9979823816653397,0.9979823816653397,5.0420177983193275,,,0.47403987446311274,0.47403987446311274,8.250008509699146,4.207026890503899
exp,effectiveness,z_A0,13358.251256281406,sensitivity_z,625.9977370031193,37.27418225895478,0.9533746965663994,0.997615802393506,0.997615802393506,5.0420177983193275,,,0.47434597837975495,0.47434597837975495,8.257572680535297,4.260241012458131
exp,effectiveness,z_A0,13505.045226130653,sensitivity_z,626.2037188198806,37.30554071150959,0.9078396352967291,0.9972511577117478,0.9972511577117478,5.0420177983193275,,,0.4746520822963971,0.4746520822963971,8.265103812653308,4.314043135759923
exp,effectiveness,z_A0,13651.8391959799,sensitivity_z,626.4086087486434,37.33673418093979,0.861716572679498,0.996888427307953,0.996888427307953,5.0420177983193275,,,0.47495818621303926,0.47495818621303926,8.272602223124707,4.368433260409276
exp,effectiveness,z_A0,13798.633165829146,sensitivity_z,626.6124182010658,37.367764242310585,0.8150055087147079,0.996527591188239,0.996527591188239,5.0420177983193275,,,0.47526429012968135,0.47526429012968135,8.280068224337365,4.423411386406189
