dataset,overlap_level,method,metric,n,mean,std,standard_error,ci95_low,ci95_high
incident_event_log,high,APM,U_SC,27,567.9702248658585,223.61141825885426,43.03403750854117,483.62351134911785,652.3169383825992
incident_event_log,high,APM,U_TSP,27,11.59122908707674,4.563498336754424,0.8782456643905254,9.869867584871312,13.31259058928217
incident_event_log,high,APM,U_DP,27,7.209141474234964,4.432192552730202,0.8529758544730122,5.53730879946786,8.880974149002068
incident_event_log,high,APM,delivery_time,27,0.9164788055589972,0.054347066004107256,0.010459097729045894,0.8959789740100672,0.9369786371079272
incident_event_log,high,APM,pS,27,13.582686177653601,21.98979891795963,4.231938774903244,5.288086178843242,21.87728617646396
incident_event_log,high,APM,avg_pT,27,0.003960621147258032,0.0024549825742413663,0.0004724616166980311,0.003034596378529891,0.004886645915986173
incident_event_log,high,APM,avg_psr,27,0.4321677177466397,0.06226966867900443,0.011983803324724004,0.4086794632301807,0.45565597226309873
incident_event_log,high,APM,avg_risk_value,27,0.0036188081164916113,0.002220045351622574,0.0004272479271241568,0.002781402179328264,0.004456214053654959
incident_event_log,high,APM,quality_q,27,8.352119444100277,5.434706600410726,1.0459097729045894,6.302136289207281,10.402102598993272
incident_event_log,high,APM,social_welfare,27,586.7705954271703,225.18055122701873,43.336017289062525,501.83200154060773,671.7091893137328
incident_event_log,high,APM,quality_adjusted_welfare,27,5995.02104620246,5122.306991026249,985.788440046969,4062.8757037104006,7927.166388694519
incident_event_log,high,APM,welfare_per_time,27,655.783253098406,281.2113855206765,54.119156376516734,549.7097066004333,761.8567995963788
incident_event_log,high,APM,quality_per_time,27,9.501999035122738,6.836027959109525,1.315594194126564,6.923434414634673,12.080563655610803
incident_event_log,high,APM,runtime,30,0.0007649501164754232,0.00014385944159744137,2.6265020424338554e-05,0.0007134706764437196,0.0008164295565071268
incident_event_log,high,BGM,U_SC,26,564.2747727166068,160.1505665873369,31.408110159298904,502.71487680438094,625.8346686288327
incident_event_log,high,BGM,U_TSP,26,11.515811695337991,3.2683789134466585,0.640981840672296,10.25948728762029,12.772136103055692
incident_event_log,high,BGM,U_DP,26,5.942638922159933,3.726133223050492,0.7307548467146476,4.510359422599223,7.3749184217206425
