mechanism,varied_parameter,varied_value,feasible,USC,UTSP,UDP,delivery_time,time_ratio,quality_q,risk_cost,pS,avg_pT,avg_psr,pT,z,baseline_rule,decay_type,delivery_time_type,solver,risk_cap
APM,lambda,0.45,True,599.2977017459694,12.230565348976704,6.441684695383529,0.9262731373542774,0.9262731373542774,7.372686264572259,25.77632917055272,5.180571730722038,0.0003826089779249238,0.4930929616963283,2.3414249e-05;0;5.7745736e-05;0;0;0.0015597165;0.001237041;0.00059463401;0;0;0.00073614732,3894.9333;0;9;0;76.436667;14732.667;17362.667;2;0;7.95;183.2,"Auction-style baseline aligned with the statistical robustness experiment: marginal-match ranking, common risk cap, risk compensation, and second-price-style floor.",linear,log,,0.00018123828681539147
Proposed,lambda,0.46,True,655.04837844077,57.21549462185972,46.439575229292615,0.8791860260941513,0.8791860260941513,12.081397390584868,27.1900818668951,9.627112670712282,0.0006966488626321316,0.5241726321152164,0.0010135447;0;0.00046989979;0;0;0.0044941809;0;0.0014588354;0;0.0002266767;0,21965.777;0;7;0;0;25954.995;0;2;0;106.80011;0,Full three-stage Stackelberg backward induction.,linear,log,analytical_main_model,
SRC,lambda,0.46,True,559.2580191949196,11.413428969317685,5.178295159062699,0.9371568508236641,0.9371568508236641,6.284314917633593,25.891475795313504,5.80158693679017,0.00037253927756782237,0.5045606206676656,1.8073295e-05;0;4.550858e-05;0.00015411799;6.6799943e-05;0.0013392766;0.00096283512;0.00058353418;0;0.00035434116;0.00057344524,3408.0667;0;8;2;2675.2833;12891.083;15192.333;2;0;278.25;160.3,"Static risk compensation baseline aligned with the statistical robustness experiment: fixed policy level, common risk cap, risk compensation, and positive TSP surplus.",linear,log,,0.00018123828681539157
BGM,lambda,0.46,True,420.49275267386673,8.581484751893175,4.834328424516897,0.9648127793503763,0.9648127793503763,3.518722064962365,24.171642122584473,9.087394286685804,0.00033107507119730983,0.4967382744502666,1.8756842e-05;0;3.154572e-06;0.00015411799;0.00013483365;0.00096498564;0.0007761611;0.00058353418;0;0.00030468785;0.00070159395,3478.8122;0;2;2;3821.8333;9288.3806;13441.066;2;0;239.25923;180.10877,"Bargaining-style baseline aligned with the statistical robustness experiment: risk-weighted allocation, common risk cap, risk compensation, and positive TSP surplus.",linear,log,,0.00018123828681539157
APM,lambda,0.46,True,598.7363923488385,12.219110055157707,6.5848332441698325,0.9262731373542774,0.9262731373542774,7.372686264572259,26.349136485453894,5.256705364649773,0.00039111139965658883,0.4930929616963283,2.3934566e-05;0;5.9028975e-05;0;0;0.0015943768;0.0012645308;0.0006078481;0;0;0.00075250615,3894.9333;0;9;0;76.436667;14732.667;17362.667;2;0;7.95;183.2,"Auction-style baseline aligned with the statistical robustness experiment: marginal-match ranking, common risk cap, risk compensation, and second-price-style floor.",linear,log,,0.00018123828681539157
Proposed,lambda,0.47000000000000003,True,652.5199224864481,58.46343480059576,47.4491312125381,0.8791860260941513,0.8791860260941513,12.081397390584868,27.781170603131933,9.83639772877124,0.0007117934031241343,0.5241726321152164,0.0010355783;0;0.000480115;0;0;0.0045918804;0;0.0014905493;0;0.00023160445;0,21965.777;0;7;0;0;25954.995;0;2;0;106.80011;0,Full three-stage Stackelberg backward induction.,linear,log,analytical_main_model,
SRC,lambda,0.47000000000000003,True,558.7284822290885,11.402622092463986,5.290866792955363,0.9371568508236641,0.9371568508236641,6.284314917633593,26.45433396477684,5.885850213340051,0.00038063795751494886,0.5045606206676656,1.8466193e-05;0;4.6497897e-05;0.00015746838;6.8252115e-05;0.0013683913;0.00098376632;0.00059621971;0;0.00036204423;0.00058591144,3408.0667;0;8;2;2675.2833;12891.083;15192.333;2;0;278.25;160.3,"Static risk compensation baseline aligned with the statistical robustness experiment: fixed policy level, common risk cap, risk compensation, and positive TSP surplus.",linear,log,,0.00018123828681539152
BGM,lambda,0.47000000000000003,True,419.9983900454118,8.5713957186594,4.939422520702038,0.9648127793503763,0.9648127793503763,3.518722064962365,24.697112603510224,9.227889221871946,0.000338272355353773,0.4967382744502666,1.9164599e-05;0;3.2231497e-06;0.00015746838;0.00013776482;0.00098596359;0.00079303417;0.00059621971;0;0.0003113115;0.000716846,3478.8122;0;2;2;3821.8333;9288.3806;13441.066;2;0;239.25923;180.10877,"Bargaining-style baseline aligned with the statistical robustness experiment: risk-weighted allocation, common risk cap, risk compensation, and positive TSP surplus.",linear,log,,0.00018123828681539152
APM,lambda,0.47000000000000003,True,598.1750829517075,12.207654761338706,6.727981792956125,0.9262731373542774,0.9262731373542774,7.372686264572259,26.921943800355063,5.332838998577506,0.00039961382138825385,0.4930929616963283,2.4454882e-05;0;6.0312213e-05;0;0;0.0016290372;0.0012920206;0.00062106219;0;0;0.00076886498,3894.9333;0;9;0;76.436667;14732.667;17362.667;2;0;7.95;183.2,"Auction-style baseline aligned with the statistical robustness experiment: marginal-match ranking, common risk cap, risk compensation, and second-price-style floor.",linear,log,,0.00018123828681539152
Proposed,lambda,0.48000000000000004,True,649.9914665321261,59.71137497933185,48.45868719578358,0.8791860260941513,0.8791860260941513,12.081397390584868,28.37225933936878,10.045682786830204,0.0007269379436161371,0.5241726321152164,0.0010576119;0;0.00049033021;0;0;0.00468958;0;0.0015222631;0;0.00023653221;0,21965.777;0;7;0;0;25954.995;0;2;0;106.80011;0,Full three-stage Stackelberg backward induction.,linear,log,analytical_main_model,
