decay_type,experiment_name,varied_parameter,varied_value,mechanism,USC,UTSP,UDP,delivery_time,pS,pT,avg_pT,psr,avg_psr,quality_q,risk_cost
linear,effectiveness,pT_A2,0.0005953177257525084,sensitivity_pT,671.1360237948747,60.51815352778428,46.00520430949893,0.870994238460941,9.181222726159957,0.0005953177257525084,0.0005953177257525084,0.5300414995506588,0.5300414995506588,12.900576153905895,26.16374048676824
linear,effectiveness,pT_A2,0.0006020066889632107,sensitivity_pT,672.5258434449345,61.35837328552243,46.106330384387746,0.8698655396526385,9.181222726159957,0.0006020066889632107,0.0006020066889632107,0.5307805978507327,0.5307805978507327,13.013446034736154,26.3076941084289
linear,effectiveness,pT_A2,0.000608695652173913,sensitivity_pT,672.5258434449345,61.27711001771919,46.207909469141796,0.8698655396526385,9.181222726159957,0.000608695652173913,0.000608695652173913,0.5307805978507327,0.5307805978507327,13.013446034736154,26.3076941084289
linear,effectiveness,pT_A2,0.0006153846153846154,sensitivity_pT,672.5258434449345,61.19584674991594,46.30948855389586,0.8698655396526385,9.181222726159957,0.0006153846153846154,0.0006153846153846154,0.5307805978507327,0.5307805978507327,13.013446034736154,26.3076941084289
linear,effectiveness,pT_A2,0.0006220735785953177,sensitivity_pT,672.5258434449345,61.114583482112685,46.411067638649925,0.8698655396526385,9.181222726159957,0.0006220735785953177,0.0006220735785953177,0.5307805978507327,0.5307805978507327,13.013446034736154,26.3076941084289
linear,effectiveness,pT_A2,0.00062876254180602,sensitivity_pT,672.5258434449345,61.033320214309434,46.51264672340399,0.8698655396526385,9.181222726159957,0.00062876254180602,0.00062876254180602,0.5307805978507327,0.5307805978507327,13.013446034736154,26.3076941084289
linear,effectiveness,pT_A2,0.0006354515050167224,sensitivity_pT,672.5258434449345,60.952056946506204,46.614225808158025,0.8698655396526385,9.181222726159957,0.0006354515050167224,0.0006354515050167224,0.5307805978507327,0.5307805978507327,13.013446034736154,26.3076941084289
linear,effectiveness,pT_A2,0.0006421404682274247,sensitivity_pT,672.5258434449345,60.87079367870295,46.71580489291209,0.8698655396526385,9.181222726159957,0.0006421404682274247,0.0006421404682274247,0.5307805978507327,0.5307805978507327,13.013446034736154,26.3076941084289
linear,effectiveness,pT_A2,0.000648829431438127,sensitivity_pT,672.5258434449345,60.7895304108997,46.817383977666154,0.8698655396526385,9.181222726159957,0.000648829431438127,0.000648829431438127,0.5307805978507327,0.5307805978507327,13.013446034736154,26.3076941084289
linear,effectiveness,pT_A2,0.0006555183946488295,sensitivity_pT,672.5258434449345,60.70826714309645,46.91896306242022,0.8698655396526385,9.181222726159957,0.0006555183946488295,0.0006555183946488295,0.5307805978507327,0.5307805978507327,13.013446034736154,26.3076941084289
linear,effectiveness,pT_A2,0.0006622073578595318,sensitivity_pT,673.874768381958,61.519267864033885,47.02105978874933,0.8687546163693287,9.181222726159957,0.0006622073578595318,0.0006622073578595318,0.5315196961508066,0.5315196961508066,13.124538363067128,26.466800742895956
linear,effectiveness,pT_A2,0.0006688963210702341,sensitivity_pT,673.874768381958,61.436714703090914,47.12425123992804,0.8687546163693287,9.181222726159957,0.0006688963210702341,0.0006688963210702341,0.5315196961508066,0.5315196961508066,13.124538363067128,26.466800742895956
linear,effectiveness,pT_A2,0.0006755852842809365,sensitivity_pT,673.874768381958,61.354161542147935,47.22744269110676,0.8687546163693287,9.181222726159957,0.0006755852842809365,0.0006755852842809365,0.5315196961508066,0.5315196961508066,13.124538363067128,26.466800742895956
linear,effectiveness,pT_A2,0.0006822742474916388,sensitivity_pT,673.874768381958,61.27160838120496,47.330634142285476,0.8687546163693287,9.181222726159957,0.0006822742474916388,0.0006822742474916388,0.5315196961508066,0.5315196961508066,13.124538363067128,26.466800742895956
linear,effectiveness,pT_A2,0.0006889632107023411,sensitivity_pT,673.874768381958,61.18905522026197,47.43382559346422,0.8687546163693287,9.181222726159957,0.0006889632107023411,0.0006889632107023411,0.5315196961508066,0.5315196961508066,13.124538363067128,26.466800742895956
linear,effectiveness,pT_A2,0.0006956521739130434,sensitivity_pT,673.874768381958,61.106502059319,47.53701704464294,0.8687546163693287,9.181222726159957,0.0006956521739130434,0.0006956521739130434,0.5315196961508066,0.5315196961508066,13.124538363067128,26.466800742895956
linear,effectiveness,pT_A2,0.0007023411371237458,sensitivity_pT,673.874768381958,61.02394889837602,47.64020849582165,0.8687546163693287,9.181222726159957,0.0007023411371237458,0.0007023411371237458,0.5315196961508066,0.5315196961508066,13.124538363067128,26.466800742895956
linear,effectiveness,pT_A2,0.0007090301003344481,sensitivity_pT,673.874768381958,60.94139573743303,47.7433999470004,0.8687546163693287,9.181222726159957,0.0007090301003344481,0.0007090301003344481,0.5315196961508066,0.5315196961508066,13.124538363067128,26.466800742895956
linear,effectiveness,pT_A2,0.0007157190635451504,sensitivity_pT,673.874768381958,60.858842576490055,47.846591398179115,0.8687546163693287,9.181222726159957,0.0007157190635451504,0.0007157190635451504,0.5315196961508066,0.5315196961508066,13.124538363067128,26.466800742895956
linear,effectiveness,pT_A2,0.0007224080267558529,sensitivity_pT,673.874768381958,60.77628941554708,47.94978284935783,0.8687546163693287,9.181222726159957,0.0007224080267558529,0.0007224080267558529,0.5315196961508066,0.5315196961508066,13.124538363067128,26.466800742895956
